guidelink,channel_id,channel_slug,channel_name,channel_name_location,channel_name_real,chantype,chancomp,channel_url,chanbouq,chanlcnfta1,chanlcnfta2,chanlcnfta3,chanlcnfox,chanlcnfet,channel_number,chlogo_light,chlogo_dark,channel_group,channel_type,chlogo
281938auepg.com.au,281938auepg.com.au,281938auepg-com-au,9NBN,9NBN Gold Coast,Nine-NBN Gold Coast,SD 576i,MPEG-2,,[603],8,81,0,0,0,,https://i.imgur.com/E0lHESU.png,https://i.imgur.com/E0lHESU.png,Nine Entertainment Co. (NBN),Free-to-Air,https://i.imgur.com/E0lHESU.png
281938auepg.com.au,281938auepg.com.au,281938auepg-com-au,9NBN HD,9NBN HD Gold Coast,9HD Gold Coast,HD 1080i,MPEG-4,,[603],80,0,0,0,0,,https://i.imgur.com/KARY6vy.png,https://i.imgur.com/KARY6vy.png,Nine Entertainment Co. (NBN),Free-to-Air,https://i.imgur.com/KARY6vy.png
281938auepg.com.au,281938auepg.com.au,281938auepg-com-au,9NBN,9NBN Gold Coast,Nine-NBN Gold Coast,SD 576i,MPEG-2,,[603],81,0,0,0,0,,https://i.imgur.com/E0lHESU.png,https://i.imgur.com/E0lHESU.png,Nine Entertainment Co. (NBN),Free-to-Air,https://i.imgur.com/E0lHESU.png
284791auepg.com.au,284791auepg.com.au,284791auepg-com-au,ABC Kids/ABC Family,ABC Kids/ABC Family New South Wales,ABC Kids/ABC Family,SD 576i,MPEG-2,,"[101, 115, 102, 103, 116, 105, 106, 107, 109, 108, 111, 114, 112, 113, 1002, 1014]",22,0,0,0,0,,https://i.imgur.com/QVoN03I.png,https://i.imgur.com/QVoN03I.png,Australian Broadcasting Corporation,Free-to-Air,https://i.imgur.com/QVoN03I.png
284791auepg.com.au,284791auepg.com.au,284791auepg-com-au,ABC Kids/ABC Family,ABC Kids/ABC Family Victoria,ABC Kids/ABC Family,SD 576i,MPEG-2,,"[301, 304, 305, 306, 307, 308, 302, 1002, 1014]",22,0,0,0,0,,https://i.imgur.com/QVoN03I.png,https://i.imgur.com/QVoN03I.png,Australian Broadcasting Corporation,Free-to-Air,https://i.imgur.com/QVoN03I.png
284791auepg.com.au,284791auepg.com.au,284791auepg-com-au,ABC Kids/ABC Family,ABC Kids/ABC Family Aus. Capital Territory,ABC Kids/ABC Family,SD 576i,MPEG-2,,"[201, 933]",22,0,0,0,0,,https://i.imgur.com/QVoN03I.png,https://i.imgur.com/QVoN03I.png,Australian Broadcasting Corporation,Free-to-Air,https://i.imgur.com/QVoN03I.png
284791auepg.com.au,284791auepg.com.au,284791auepg-com-au,ABC Kids/ABC Family,ABC Kids/ABC Family Tasmania,ABC Kids/ABC Family,SD 576i,MPEG-4,,"[401, 402]",22,0,0,0,0,,https://i.imgur.com/QVoN03I.png,https://i.imgur.com/QVoN03I.png,Australian Broadcasting Corporation,Free-to-Air,https://i.imgur.com/QVoN03I.png
284791auepg.com.au,284791auepg.com.au,284791auepg-com-au,ABC Kids/ABC Family,ABC Kids/ABC Family South-East,ABC Kids/ABC Family SE,SD 576i,MPEG-4,,"[120, 320, 420, 900, 950, 5029, 5902]",22,0,0,0,0,,https://i.imgur.com/QVoN03I.png,https://i.imgur.com/QVoN03I.png,Australian Broadcasting Corporation,Free-to-Air,https://i.imgur.com/QVoN03I.png
284791auepg.com.au,284791auepg.com.au,284791auepg-com-au,ABC Kids/ABC Family,ABC Kids/ABC Family,ABC Kids/Family,SD 576i,MPEG-2,,"[2011, 2010, 2016]",0,0,0,152,0,,https://i.imgur.com/QVoN03I.png,https://i.imgur.com/QVoN03I.png,Australian Broadcasting Corporation,Entertainment,https://i.imgur.com/QVoN03I.png
284791auepg.com.au,284791auepg.com.au,284791auepg-com-au,ABC Kids/ABC Family,ABC Kids/ABC Family South-East,ABC Kids/ABC Family SE,SD 576i,MPEG-4,,"[520, 620, 720, 820]",222,0,0,0,0,,https://i.imgur.com/QVoN03I.png,https://i.imgur.com/QVoN03I.png,Australian Broadcasting Corporation ,Free-to-Air,https://i.imgur.com/QVoN03I.png
284793auepg.com.au,284793auepg.com.au,284793auepg-com-au,ABC Kids/ABC Family,ABC Kids/ABC Family Queensland,ABC Kids/ABC Family,SD 576i,MPEG-2,,"[601, 602, 603, 611, 604, 612, 605, 606, 607, 608, 609, 1002, 1013]",22,0,0,0,0,,https://i.imgur.com/QVoN03I.png,https://i.imgur.com/QVoN03I.png,Australian Broadcasting Corporation,Free-to-Air,https://i.imgur.com/QVoN03I.png
284793auepg.com.au,284793auepg.com.au,284793auepg-com-au,ABC Kids/ABC Family,"ABC Kids/ABC Family Qld, NT & SA",ABC Kids/ABC Family,SD 576i,MPEG-4,,"[520, 620, 720, 950, 5029, 5902]",22,0,0,0,0,,https://i.imgur.com/QVoN03I.png,https://i.imgur.com/QVoN03I.png,Australian Broadcasting Corporation,Free-to-Air,https://i.imgur.com/QVoN03I.png
284793auepg.com.au,284793auepg.com.au,284793auepg-com-au,ABC Kids/ABC Family,"ABC Kids/ABC Family Qld, NT & SA",ABC Kids/ABC Family,SD 576i,MPEG-4,,"[120, 320, 420, 820]",242,0,0,0,0,,https://i.imgur.com/QVoN03I.png,https://i.imgur.com/QVoN03I.png,Australian Broadcasting Corporation ,Free-to-Air,https://i.imgur.com/QVoN03I.png
284794auepg.com.au,284794auepg.com.au,284794auepg-com-au,ABC Kids/ABC Family,ABC Kids/ABC Family South Australia,ABC Kids/ABC Family,SD 576i,MPEG-2,,"[501, 518, 519, 505, 1002, 1014, 504]",22,0,0,0,0,,https://i.imgur.com/QVoN03I.png,https://i.imgur.com/QVoN03I.png,Australian Broadcasting Corporation,Free-to-Air,https://i.imgur.com/QVoN03I.png
284795auepg.com.au,284795auepg.com.au,284795auepg-com-au,ABC Kids/ABC Family,ABC Kids/ABC Family Western Australia,ABC Kids/ABC Family,SD 576i,MPEG-2,,"[801, 803, 810, 811, 804, 805, 802, 1002, 1013, 5902]",22,0,0,0,0,,https://i.imgur.com/QVoN03I.png,https://i.imgur.com/QVoN03I.png,Australian Broadcasting Corporation,Free-to-Air,https://i.imgur.com/QVoN03I.png
